,Geography,Population mid-2018 (millions)
1,Algeria,42.7
2,Egypt,97
3,Libya,6.5
4,Morocco,35.2
5,Sudan,41.7
6,Tunisia,11.6
7,Western Sahara,0.6
8,Benin,11.5
9,Burkina Faso,20.3
10,Cape Verde,0.6
11,Cote d'Ivoire,24.9
12,Gambia,2.2
13,Ghana,29.5
14,Guinea,11.9
15,Guinea-Bissau,1.9
16,Liberia,4.9
17,Mali,19.4
18,Mauritania,4.5
19,Niger,22.2
20,Nigeria,195.9
21,Senegal,16.3
22,Sierra Leone,7.7
23,Togo,8
24,Burundi,11.8
25,Comoros,0.8
26,Djibouti,1
27,Eritrea,6
28,Ethiopia,107.5
29,Kenya,51
30,Madagascar,26.3
31,Malawi,19.1
32,Mauritius,1.3
33,Mozambique,30.5
34,Rwanda,12.6
35,Seychelles,0.1
36,Somalia,15.2
37,South Sudan,13
38,Tanzania,59.1
39,Uganda,44.1
40,Zambia,17.7
41,Zimbabwe,14
42,Angola,30.4
43,Cameroon,25.6
44,Central African Republic,4.7
45,Chad,15.4
46,Congo,5.4
47,"Congo, Dem. Rep.",84.3
48,Equatorial Guinea,1.3
49,Gabon,2.1
50,Sao Tome and Principe,0.2
51,Botswana,2.2
52,eSwatini,1.4
53,Lesotho,2.3
54,Namibia,2.5
55,South Africa,57.7
57,Canada,37.2
58,United States,328
60,Belize,0.4
61,Costa Rica,5
62,El Salvador,6.5
63,Guatemala,17.2
64,Honduras,9
65,Mexico,130.8
66,Nicaragua,6.3
67,Panama,4.2
68,Antigua and Barbuda,0.1
69,Bahamas,0.4
70,Barbados,0.3
71,Cuba,11.1
72,Curacao,0.2
73,Dominica,0.07
74,Dominican Republic,10.8
75,Grenada,0.1
76,Haiti,10.8
77,Jamaica,2.9
78,Puerto Rico,3.3
79,St. Kitts-Nevis,0.05
80,Saint Lucia,0.2
81,St. Vincent and the Grenadines,0.1
82,Trinidad and Tobago,1.4
83,Argentina,44.5
84,Bolivia,11.3
85,Brazil,209.4
86,Chile,18.6
87,Colombia,49.8
88,Ecuador,17
89,Guyana,0.8
90,Paraguay,6.9
91,Peru,32.2
92,Suriname,0.6
93,Uruguay,3.5
94,Venezuela,31.8
96,Armenia,3
97,Azerbaijan,9.9
98,Bahrain,1.5
99,Cyprus,1.2
100,Georgia,3.9
101,Iraq,40.2
102,Israel,8.5
103,Jordan,10.2
104,Kuwait,4.2
105,Lebanon,6.1
106,Oman,4.7
107,Qatar,2.7
108,Saudi Arabia,33.4
109,Syria,18.3
110,Turkey,81.3
111,United Arab Emirates,9.5
112,Yemen,28.9
113,Kazakhstan,18.4
114,Kyrgyzstan,6.1
115,Tajikistan,9.1
116,Turkmenistan,5.9
117,Uzbekistan,32.9
118,Afghanistan,36.5
119,Bangladesh,166.4
120,Bhutan,0.8
121,India,"1,371.3"
122,Iran,81.6
123,Maldives,0.4
124,Nepal,29.7
125,Pakistan,200.6
126,Sri Lanka,21.7
127,Brunei,0.4
128,Cambodia,16
129,Indonesia,265.2
130,Laos,7
131,Malaysia,32.5
132,Myanmar,53.9
133,Philippines,107
134,Singapore,5.8
135,Thailand,66.2
136,Timor-Leste,1.2
137,Vietnam,94.7
138,China,"1,393.8"
139,Japan,126.5
140,"Korea, North",25.6
141,"Korea, South",51.8
142,Mongolia,3.2
143,Taiwan,23.6
145,Denmark,5.8
146,Estonia,1.3
147,Finland,5.5
148,Iceland,0.4
149,Ireland,4.9
150,Latvia,1.9
151,Lithuania,2.8
152,Norway,5.3
153,Sweden,10.2
154,United Kingdom,66.4
155,Austria,8.8
156,Belgium,11.4
157,France,65.1
158,Germany,82.8
159,Liechtenstein,0.04
160,Luxembourg,0.6
161,Monaco,0.04
162,Netherlands,17.2
163,Switzerland,8.5
164,Belarus,9.5
165,Bulgaria,7
166,Czechia,10.6
167,Hungary,9.8
168,Moldova,3.5
169,Poland,38.4
170,Romania,19.5
171,Russia,147.3
172,Slovakia,5.4
173,Ukraine,42.3
174,Albania,2.9
175,Andorra,0.08
176,Bosnia-Herzegovina,3.5
177,Croatia,4.1
178,Greece,10.6
179,Italy,60.6
180,Kosovo,1.8
181,Macedonia,2.1
182,Malta,0.5
183,Montenegro,0.6
184,Portugal,10.3
185,San Marino,0.03
186,Serbia,7
187,Slovenia,2.1
188,Spain,46.7
190,Australia,24.1
191,Federated States of Micronesia,0.1
192,Fiji,0.9
193,French Polynesia,0.3
194,Guam,0.2
195,Kiribati,0.1
196,Marshall Islands,0.06
197,Nauru,0.01
198,New Caledonia,0.3
199,New Zealand,4.9
200,Palau,0.02
201,Papua New Guinea,8.5
202,Samoa,0.2
203,Solomon Islands,0.7
204,Tonga,0.1
205,Tuvalu,0.01
206,Vanuatu,0.3
