,countries
0,Western Sahara
1,Cote d'Ivoire
2,"Congo, Dem. Rep."
3,eSwatini
4,El Salvador
5,Honduras
6,Curacao
7,Puerto Rico
8,St. Kitts-Nevis
9,Saint Lucia
10,St. Vincent and the Grenadines
11,Georgia
12,Oman
13,Brunei
14,Timor-Leste
15,Czechia
16,French Polynesia
17,Guam
18,New Caledonia
19,Palau
20,Samoa
21,Palestinian Territory
22,Czech Republic
23,French Guiana
24,Salvadoran
25,Rhodesian
26,"Congo, Dem. Rep. of"
27,East Timorese
28,Faroese
29,Cape Colony
30,South Korean
31,Samoan
32,Montserratian
33,Pitcairn Islands
34,Saint Kitts and Nevis
35,Abkhazia
36,Niuean
37,Ivorian
38,Martinique
39,Carniolan
40,Saint Lucian
41,South African Republic
42,Hondura
43,Incan
44,Chechen
45,Jersey
46,Guernsey
47,Guadeloupe
48,Saint Vincent and the Grenadines
49,South Ossetian
50,Cook Island
51,Omani
52,Tokelauan
53,Swaziland
54,Dagestani
55,Greenlandic
56,Ossetian
57,Palauan
58,Somaliland
59,Rojava
