,page,country,rev_id,Population mid-2018 (millions),prediction
0,Bir I of Kanem,Chad,355319463,15.4,Stub
1,Abdullah II of Kanem,Chad,498683267,15.4,Stub
2,Salmama II of Kanem,Chad,565745353,15.4,Stub
3,Kuri I of Kanem,Chad,565745365,15.4,Stub
4,Mohammed I of Kanem,Chad,565745375,15.4,Stub
5,Kuri II of Kanem,Chad,669719757,15.4,Stub
6,Bir II of Kanem,Chad,670893206,15.4,Stub
7,Mahamat Hissene,Chad,693055898,15.4,Stub
8,Othman I,Chad,705432607,15.4,Stub
9,Alphonse Kotiga,Chad,707593108,15.4,Stub
10,Oueddei Kichidemi,Chad,708346649,15.4,Start
11,Dunama I,Chad,710675092,15.4,Stub
12,Ahmad (Kanem-Bornu king),Chad,711388267,15.4,Stub
13,Djibrine Kerallah,Chad,712971263,15.4,Stub
14,Maurice Ngangtar,Chad,712971315,15.4,Stub
15,Idriss Miskine,Chad,712971738,15.4,Stub
16,Laoukein Kourayo Médard,Chad,716886170,15.4,Stub
17,Nadji Madou,Chad,716886788,15.4,Stub
18,Noël Milarew Odingar,Chad,716891799,15.4,Start
19,Yaya Dillo Djérou,Chad,717733209,15.4,Stub
20,Acheikh Ibn-Oumar,Chad,719821590,15.4,Start
21,Quatre Sou Quatre,Chad,720066754,15.4,Stub
22,Ali Gazi,Chad,722563340,15.4,Stub
23,Mahamat Djarma Khatir,Chad,725132042,15.4,Stub
24,Dunama IX Lefiami,Chad,731749611,15.4,Stub
25,Dawud of Kanem,Chad,736550266,15.4,Stub
26,Ahmed Koulamallah,Chad,738855197,15.4,Start
27,Abbo Nassour,Chad,741369486,15.4,C
28,Abdel Kader Baba-Laddé,Chad,742213176,15.4,Stub
29,Hummay,Chad,747271475,15.4,Stub
30,Ngarlejy Yorongar,Chad,751304544,15.4,C
31,Saleh Kezabo,Chad,751380073,15.4,Stub
32,Bourkou Louise Kabo,Chad,757072468,15.4,Start
33,Brahim Koulamallah,Chad,757802238,15.4,Stub
34,Saadie Goukouni Weddeye,Chad,757842614,15.4,Start
35,Mahamoud Adam Béchir,Chad,762579466,15.4,Start
36,Kalthouma Nguembang,Chad,762816132,15.4,Stub
37,Djidingar Dono Ngardoum,Chad,764133533,15.4,Stub
38,Youssouf Saleh Abbas,Chad,771052289,15.4,B
39,Koibla Djimasta,Chad,774223245,15.4,Start
40,Nassour Guelendouksia Ouaido,Chad,774223248,15.4,C
41,Joseph Brahim Seid,Chad,777478442,15.4,Stub
42,Joseph Yodoyman,Chad,777550078,15.4,Start
43,Antoine Bangui,Chad,782638002,15.4,Start
44,Ibrahim IV of Bornu,Chad,785614014,15.4,Stub
45,Hadjé Halimé,Chad,786449636,15.4,C
46,Youssouf Togoïmi,Chad,787390241,15.4,Start
47,Adoum Younousmi,Chad,787719236,15.4,Start
48,François Tombalbaye,Chad,787738541,15.4,C
49,Ahmat Hassaballah Soubiane,Chad,787910771,15.4,Stub
50,Ahmad Allam-Mi,Chad,787921293,15.4,Start
51,Laotegguelnodji Koumtog,Chad,788009613,15.4,Stub
52,Mahamat Ali Adoum,Chad,788014671,15.4,Start
53,Mahamat Saleh Annadif,Chad,788658822,15.4,Start
54,Mohamed Bechir-Sow,Chad,788827248,15.4,Stub
55,Gontchomé Sahoulba,Chad,788828388,15.4,Start
56,Gabriel Lisette,Chad,788828519,15.4,Start
57,Ali II of Bornu,Chad,788999424,15.4,Stub
58,Arabi El Goni,Chad,789126126,15.4,Stub
59,Dunama Dabbalemi,Chad,789935196,15.4,Start
60,Idris Alooma,Chad,792734868,15.4,Start
61,Mahamat Nouri,Chad,792954115,15.4,FA
62,Idriss Ndele Moussa,Chad,796654025,15.4,Start
63,Mbaydoum Simeon,Chad,796690873,15.4,Stub
64,Ngarindo Milengar,Chad,796700718,15.4,Stub
65,List of Prime Ministers of Chad,Chad,797747674,15.4,Start
66,Idriss Déby,Chad,798286150,15.4,C
67,Saleh Kebzabo,Chad,798626040,15.4,C
68,Moussa Faki,Chad,799043301,15.4,C
69,Kalzeubet Pahimi Deubet,Chad,799413193,15.4,Stub
70,Haroun Kabadi,Chad,799447895,15.4,Start
71,Nagoum Yamassoum,Chad,799447995,15.4,Start
72,Outel Bono,Chad,799448338,15.4,Start
73,Ahmat Acyl,Chad,799902492,15.4,C
74,Djimrangar Dadnadji,Chad,800133552,15.4,Start
75,Delwa Kassiré Koumakoye,Chad,801029539,15.4,C
76,Fidèle Moungar,Chad,801192255,15.4,C
77,Jean Alingué Bawoyeu,Chad,801192303,15.4,B
78,Emmanuel Nadingar,Chad,801573576,15.4,C
79,Roger Djikisna,Chad,801583221,15.4,Stub
80,Firmin Djidingar,Chad,801583260,15.4,Stub
81,Idris I of Kanem,Chad,802874918,15.4,Stub
82,Vice President of Chad,Chad,803166509,15.4,Stub
83,Hissène Habré,Chad,803166806,15.4,GA
84,Negue Djogo,Chad,803166989,15.4,Start
85,Wadel Abdelkader Kamougué,Chad,803167152,15.4,C
86,Félix Malloum,Chad,803167336,15.4,Start
87,Lol Mahamat Choua,Chad,803167424,15.4,C
88,Albert Pahimi Padacké,Chad,803433107,15.4,C
89,List of heads of state of Chad,Chad,803812011,15.4,Start
90,Elise Loum,Chad,804773540,15.4,Start
91,Agnes Allafi,Chad,805493169,15.4,Start
92,Christine Georges Diguibaye,Chad,806337653,15.4,Stub
93,Pascal Yoadimnadji,Chad,806508985,15.4,Start
94,Aissa Koli,Chad,806616268,15.4,Start
95,Omar I of Kanem,Chad,807425129,15.4,Start
96,Yos Por,Cambodia,393822005,16,Stub
97,Than Sina,Cambodia,671073599,16,Stub
98,Ieu Pannakar,Cambodia,712085445,16,Stub
99,Taing Sunlay,Cambodia,713507166,16,Stub
100,Dul Koeun,Cambodia,714524609,16,Stub
101,Ly Kim Leang,Cambodia,714524624,16,Stub
102,Chhor Leang Huot,Cambodia,714524714,16,Stub
103,Thak Lany,Cambodia,714524870,16,Stub
104,Tep Ngorn,Cambodia,714528164,16,Stub
105,Chan Cheng,Cambodia,714528251,16,Stub
106,Nhim Vanda,Cambodia,714528803,16,Stub
107,Pen Panha,Cambodia,714528886,16,Stub
108,Sieng Nam,Cambodia,714529109,16,Stub
109,So Khun,Cambodia,714529370,16,Stub
110,Nou Sam,Cambodia,714529507,16,Stub
111,Rath Sarem,Cambodia,716812326,16,Stub
112,Kong Vibol,Cambodia,726543264,16,Stub
113,Monh Saphan,Cambodia,726543284,16,Stub
114,Uk Rabun,Cambodia,726543336,16,Stub
115,Ay Khorn,Cambodia,726543872,16,Stub
116,Oung Ouen,Cambodia,726688556,16,Stub
117,List of Deputy Prime Ministers of Cambodia,Cambodia,730617957,16,Stub
118,Cambodian People's Party–FUNCINPEC coalition agreement,Cambodia,732331264,16,Stub
119,Chuop Hell,Cambodia,735512767,16,Stub
120,Kong Korm,Cambodia,736093077,16,Stub
121,Huy Kanthoul,Cambodia,736539294,16,Stub
122,Vorn Vet,Cambodia,736715950,16,Stub
123,Yat Hwaidi,Cambodia,737025619,16,Stub
124,Khim Tit,Cambodia,737804996,16,Stub
125,Son Chhay,Cambodia,738180794,16,Start
126,Kep Chuktema,Cambodia,738478052,16,Start
127,Nuth Rumduol,Cambodia,738512371,16,Stub
128,Khieu Thavika,Cambodia,738804016,16,Stub
129,Daran Kravanh,Cambodia,738989624,16,Stub
130,Sisowath Monireth,Cambodia,738992094,16,Start
131,Sisowath Youtevong,Cambodia,738992441,16,Start
132,Ou Chanrith,Cambodia,739217591,16,Stub
133,Yem Ponhearith,Cambodia,741680078,16,Stub
134,Chrea Sochenda,Cambodia,741923960,16,Stub
135,Vong Kan,Cambodia,742006559,16,Stub
136,Yos Son,Cambodia,742067282,16,Stub
137,Hun Many,Cambodia,744291790,16,Stub
138,Chhean Vam,Cambodia,747052284,16,Stub
139,Oum Chheang Sun,Cambodia,747052769,16,Stub
140,Norodom Kantol,Cambodia,747053219,16,Stub
141,Khieu Rada,Cambodia,747555899,16,Start
142,Ieu Koeus,Cambodia,747628491,16,Stub
143,Cheng Heng,Cambodia,747784875,16,Start
144,Mok Mareth,Cambodia,747945224,16,Start
145,Kieng Vang,Cambodia,748137241,16,Stub
146,Sisowath Watchayavong,Cambodia,748488170,16,Stub
147,Sokhom So,Cambodia,749156496,16,Stub
148,Min Sean,Cambodia,749304614,16,Stub
149,Y Chhean,Cambodia,749338398,16,Stub
150,Poa Bun Sreu,Cambodia,749357713,16,Stub
151,Toan Vanthara,Cambodia,749387326,16,Stub
152,Sok Soty,Cambodia,749388858,16,Stub
153,Pal Sam Oeun,Cambodia,749396845,16,Stub
154,Ngor Sovann,Cambodia,749470256,16,Stub
155,Kea Sahorn,Cambodia,749510551,16,Stub
156,Suos Kanan,Cambodia,749517390,16,Stub
157,Im Chhun Lim,Cambodia,749537624,16,Stub
158,Tram Iv Teuk,Cambodia,749537772,16,Stub
159,Hem Khorn,Cambodia,749561164,16,Stub
160,Um Nhanh,Cambodia,749569686,16,Stub
161,Poa Try,Cambodia,749570183,16,Stub
162,Yim Chhaily,Cambodia,749683882,16,Stub
163,Ith Prang,Cambodia,749704384,16,Stub
164,Try Chheang Huot,Cambodia,749710492,16,Stub
165,Suk Sam Eng,Cambodia,749945690,16,Stub
166,Nim Thot,Cambodia,749967879,16,Stub
167,Ngin Khorn,Cambodia,749970189,16,Stub
168,Sorn Inthor,Cambodia,749977252,16,Stub
169,You Hockry,Cambodia,750055098,16,Stub
170,Samrith Pech,Cambodia,750074445,16,Stub
171,Un Neung,Cambodia,750077042,16,Stub
172,Bou Thang,Cambodia,750179637,16,Stub
173,Peter Khoy Saukam,Cambodia,751227068,16,Start
174,Tuot Saron,Cambodia,752967379,16,Start
175,Phoeurng Sackona,Cambodia,752979708,16,Stub
176,Nhek Bun Chhay,Cambodia,753086260,16,Stub
177,Cheam Yeab,Cambodia,753684881,16,Stub
178,Chea Poch,Cambodia,753689952,16,Stub
179,Chin Bun Sean,Cambodia,753692176,16,Stub
180,Chhim Siek Leng,Cambodia,753695057,16,Stub
181,Chea Soth,Cambodia,753711610,16,Stub
182,Ke Pauk,Cambodia,754318281,16,Stub
183,Kong Sam Ol,Cambodia,754944744,16,Stub
184,Pho Proeung,Cambodia,755504987,16,Stub
185,San Yun,Cambodia,756129985,16,Stub
186,Tiv Ol,Cambodia,756722795,16,Start
187,Son Ngoc Thanh,Cambodia,758665997,16,C
188,Monovithya Kem,Cambodia,759510662,16,Stub
189,Mom Chim Huy,Cambodia,761412104,16,Stub
190,Norodom Norindeth,Cambodia,761941416,16,Start
191,Hem Heng,Cambodia,763098565,16,Start
192,Chum Bunrong,Cambodia,763098588,16,Stub
193,Duong Vanna,Cambodia,763316692,16,Stub
194,Chhay Tan,Cambodia,763968613,16,Stub
195,Keat Chhon,Cambodia,765244120,16,Stub
196,Ang Vong Vathana,Cambodia,765375452,16,Stub
197,Keo Remy,Cambodia,766576352,16,Stub
198,Sun Chanthol,Cambodia,766834612,16,Start
199,Khieu Kanharith,Cambodia,766836319,16,Stub
200,Chay Saing Yun,Cambodia,767217618,16,Stub
201,Ek Sam Ol,Cambodia,767218020,16,Stub
202,Ouk Rabun,Cambodia,767867369,16,Stub
203,Hun Phoeung,Cambodia,768488633,16,Stub
204,Nguon Nhel,Cambodia,769381746,16,Stub
205,Khuon Sodary,Cambodia,769381831,16,Stub
206,Sok Pheng,Cambodia,769447485,16,Stub
207,Say Chhum,Cambodia,769929584,16,Stub
208,Im Sothy,Cambodia,771408501,16,Stub
209,Eng Chhai Eang,Cambodia,773103096,16,Stub
210,Heng Pov,Cambodia,773157273,16,Start
211,Him Chhem,Cambodia,773455924,16,Stub
212,Ho Non,Cambodia,773694865,16,Stub
213,Ho Vann,Cambodia,773695304,16,Stub
214,Hul Savorn,Cambodia,774100291,16,Stub
215,Pol Hom,Cambodia,776153762,16,Stub
